Language,City,Venue,Show Time,Total Seats,Booked Seats,Occupancy (%),Booked Collection (₹),Total Collection (₹),Avg Ticket Price (₹)
"Tamil","Bengaluru","Anjan Digital 4K A/C Cinema: Magadi Road","06:45 PM","929","927","99.78%","199350.00","209025.00","225.00"
"Tamil","Bengaluru","Anjan Digital 4K A/C Cinema: Magadi Road","10:25 PM","929","134","14.42%","30250.00","209025.00","225.00"
"Tamil","Bengaluru","Aruna Theatre A/C 4K 7.1 Dolby 3D: Srirampuram","04:20 PM","897","750","83.61%","163000.00","201825.00","225.00"
"Tamil","Bengaluru","Aruna Theatre A/C 4K 7.1 Dolby 3D: Srirampuram","07:30 PM","897","85","9.48%","17800.00","201825.00","225.00"
"Tamil","Bengaluru","Aruna Theatre A/C 4K 7.1 Dolby 3D: Srirampuram","10:30 PM","897","0","0.00%","0.00","201825.00","225.00"
"Tamil","Bengaluru","Ashoka Cinemas - Dolby Laser: Chikkabanavara","10:30 PM","407","15","3.69%","3750.00","91575.00","225.00"
"Tamil","Bengaluru","Bharathi Theatre (Peenya) A/C 4K 7.1 Dolby Digital","10:00 PM","819","29","3.54%","4800.00","143325.00","175.00"
"Tamil","Bengaluru","Brundha RGB Laser 4K Projection: Hongasandra DMart","10:20 PM","708","159","22.46%","44800.00","177000.00","250.00"
"Tamil","Bengaluru","Chandrodaya Digital 4K Cinema: Vidyapeeta Circle","10:00 PM","695","18","2.59%","4600.00","173750.00","250.00"
"Tamil","Bengaluru","Cinephile HSR Layout: PNR Felicity Mall Haralur Rd","03:50 PM","194","142","73.20%","71000.00","97000.00","500.00"
"Tamil","Bengaluru","Cinephile HSR Layout: PNR Felicity Mall Haralur Rd","04:10 PM","193","137","70.98%","68500.00","96500.00","500.00"
"Tamil","Bengaluru","Cinephile HSR Layout: PNR Felicity Mall Haralur Rd","07:00 PM","194","76","39.18%","38000.00","97000.00","500.00"
"Tamil","Bengaluru","Cinephile HSR Layout: PNR Felicity Mall Haralur Rd","07:20 PM","193","44","22.80%","22000.00","96500.00","500.00"
"Tamil","Bengaluru","Cinephile HSR Layout: PNR Felicity Mall Haralur Rd","10:10 PM","194","5","2.58%","2500.00","97000.00","500.00"
"Tamil","Bengaluru","Cinepolis VIP: Lulu Mall, Bengaluru","06:50 PM","94","55","58.51%","46250.00","77550.00","825.00"
"Tamil","Bengaluru","Cinepolis VIP: Lulu Mall, Bengaluru","10:30 PM","94","7","7.45%","5200.00","68150.00","725.00"
"Tamil","Bengaluru","Cinepolis: Binnypet Mall","05:30 PM","290","111","38.28%","47400.00","137750.00","475.00"
"Tamil","Bengaluru","Cinepolis: Binnypet Mall","06:35 PM","170","68","40.00%","27200.00","68000.00","400.00"
"Tamil","Bengaluru","Cinepolis: Binnypet Mall","09:50 PM","136","10","7.35%","4000.00","54400.00","400.00"
"Tamil","Bengaluru","Cinepolis: Lulu Mall, Bengaluru","05:15 PM","343","272","79.30%","108800.00","137200.00","400.00"
"Tamil","Bengaluru","Cinepolis: Lulu Mall, Bengaluru","06:15 PM","186","110","59.14%","44000.00","74400.00","400.00"
"Tamil","Bengaluru","Cinepolis: Lulu Mall, Bengaluru","06:45 PM","235","119","50.64%","47600.00","94000.00","400.00"
"Tamil","Bengaluru","Cinepolis: Lulu Mall, Bengaluru","08:50 PM","343","45","13.12%","18000.00","137200.00","400.00"
"Tamil","Bengaluru","Cinepolis: Lulu Mall, Bengaluru","09:50 PM","186","16","8.60%","6400.00","74400.00","400.00"
"Tamil","Bengaluru","Cinepolis: Lulu Mall, Bengaluru","10:20 PM","235","25","10.64%","10000.00","94000.00","400.00"
"Tamil","Bengaluru","Cinepolis: Nexus Shantiniketan, Bengaluru","05:15 PM","306","168","54.90%","70400.00","153000.00","500.00"
"Tamil","Bengaluru","Cinepolis: Nexus Shantiniketan, Bengaluru","05:45 PM","144","67","46.53%","30400.00","72000.00","500.00"
"Tamil","Bengaluru","Cinepolis: Nexus Shantiniketan, Bengaluru","06:50 PM","167","70","41.92%","31200.00","83500.00","500.00"
"Tamil","Bengaluru","Cinepolis: Nexus Shantiniketan, Bengaluru","08:50 PM","306","39","12.75%","15600.00","153000.00","500.00"
"Tamil","Bengaluru","Cinepolis: Nexus Shantiniketan, Bengaluru","09:20 PM","144","13","9.03%","6000.00","72000.00","500.00"
"Tamil","Bengaluru","Cinepolis: Nexus Shantiniketan, Bengaluru","10:15 PM","138","19","13.77%","9200.00","69000.00","500.00"
"Tamil","Bengaluru","Cinepolis: Nexus Shantiniketan, Bengaluru","10:20 PM","138","12","8.70%","4800.00","69000.00","500.00"
"Tamil","Bengaluru","Cinepolis: Nexus Shantiniketan, Bengaluru","10:30 PM","167","19","11.38%","10400.00","83500.00","500.00"
"Tamil","Bengaluru","Cinepolis: Orion Avenue Mall, Banaswadi","05:15 PM","272","245","90.07%","98000.00","108800.00","400.00"
"Tamil","Bengaluru","Cinepolis: Orion Avenue Mall, Banaswadi","05:40 PM","185","162","87.57%","64800.00","74000.00","400.00"
"Tamil","Bengaluru","Cinepolis: Orion Avenue Mall, Banaswadi","08:50 PM","272","170","62.50%","68000.00","108800.00","400.00"
"Tamil","Bengaluru","Cinepolis: Orion Avenue Mall, Banaswadi","09:20 PM","185","107","57.84%","42800.00","74000.00","400.00"
"Tamil","Bengaluru","Cinepolis: Orion Avenue Mall, Banaswadi","10:30 PM","206","47","22.82%","18800.00","82400.00","400.00"
"Tamil","Bengaluru","Cinepolis: Royal Meenakshi Mall","05:45 PM","244","168","68.85%","76400.00","122000.00","500.00"
"Tamil","Bengaluru","Cinepolis: Royal Meenakshi Mall","06:25 PM","116","74","63.79%","29600.00","46400.00","400.00"
"Tamil","Bengaluru","Cinepolis: Royal Meenakshi Mall","06:55 PM","158","84","53.16%","33600.00","63200.00","400.00"
"Tamil","Bengaluru","Cinepolis: Royal Meenakshi Mall","09:20 PM","244","49","20.08%","19600.00","122000.00","500.00"
"Tamil","Bengaluru","Cinepolis: Royal Meenakshi Mall","10:30 PM","158","18","11.39%","7200.00","63200.00","400.00"
"Tamil","Bengaluru","Cinepolis: SJR (Central Mall) Arekere, Bannergatta","05:15 PM","236","144","61.02%","61100.00","123900.00","525.00"
"Tamil","Bengaluru","Cinepolis: SJR (Central Mall) Arekere, Bannergatta","06:30 PM","150","52","34.67%","20800.00","78750.00","525.00"
"Tamil","Bengaluru","Cinepolis: SJR (Central Mall) Arekere, Bannergatta","06:45 PM","203","52","25.62%","22800.00","106575.00","525.00"
"Tamil","Bengaluru","Cinepolis: SJR (Central Mall) Arekere, Bannergatta","08:50 PM","236","18","7.63%","7200.00","123900.00","525.00"
"Tamil","Bengaluru","Cinepolis: SJR (Central Mall) Arekere, Bannergatta","10:05 PM","150","15","10.00%","6000.00","78750.00","525.00"
"Tamil","Bengaluru","Cinepolis: SJR (Central Mall) Arekere, Bannergatta","10:20 PM","203","14","6.90%","6600.00","106575.00","525.00"
"Tamil","Bengaluru","Ganesh Digital 2K Cinema: Yelahanka New Town","07:30 PM","203","17","8.37%","3400.00","40600.00","200.00"
"Tamil","Bengaluru","Gopalan Cinemas: Arcade Mall, Mysore Road","06:45 PM","337","118","35.01%","47200.00","134800.00","400.00"
"Tamil","Bengaluru","Gopalan Cinemas: Arcade Mall, Mysore Road","10:00 PM","337","32","9.50%","12800.00","134800.00","400.00"
"Tamil","Bengaluru","Gopalan Cinemas: Bannerghatta Road","07:00 PM","283","74","26.15%","31100.00","127350.00","450.00"
"Tamil","Bengaluru","Gopalan Cinemas: Bannerghatta Road","10:30 PM","283","30","10.60%","13000.00","127350.00","450.00"
"Tamil","Bengaluru","Gopalan Grand Mall: Old Madras Road","04:30 PM","283","231","81.63%","92400.00","113200.00","400.00"
"Tamil","Bengaluru","Gopalan Grand Mall: Old Madras Road","06:45 PM","148","89","60.14%","35600.00","59200.00","400.00"
"Tamil","Bengaluru","Gopalan Grand Mall: Old Madras Road","07:00 PM","379","238","62.80%","95200.00","151600.00","400.00"
"Tamil","Bengaluru","Gopalan Grand Mall: Old Madras Road","10:00 PM","148","24","16.22%","9600.00","59200.00","400.00"
"Tamil","Bengaluru","Gopalan Grand Mall: Old Madras Road","10:15 PM","379","62","16.36%","24800.00","151600.00","400.00"
"Tamil","Bengaluru","Gopalan Grand Mall: Old Madras Road","10:30 PM","283","38","13.43%","15200.00","113200.00","400.00"
"Tamil","Bengaluru","Gopalan Mall: Sirsi Circle","06:45 PM","197","20","10.15%","8800.00","98500.00","500.00"
"Tamil","Bengaluru","Gopalan Mall: Sirsi Circle","09:30 PM","206","3","1.46%","1200.00","82400.00","400.00"
"Tamil","Bengaluru","Gopalan Mall: Sirsi Circle","10:00 PM","197","1","0.51%","600.00","98500.00","500.00"
"Tamil","Bengaluru","Gopalan Miniplex: Signature Mall, Old Madras Road","06:30 PM","92","41","44.57%","16400.00","36800.00","400.00"
"Tamil","Bengaluru","Gopalan Miniplex: Signature Mall, Old Madras Road","09:45 PM","92","2","2.17%","800.00","36800.00","400.00"
"Tamil","Bengaluru","INOX Lido: Off MG Road, Ulsoor","03:40 PM","272","220","80.88%","96800.00","145066.67","533.33"
"Tamil","Bengaluru","INOX Lido: Off MG Road, Ulsoor","06:05 PM","272","201","73.90%","89200.00","145066.67","533.33"
"Tamil","Bengaluru","INOX Lido: Off MG Road, Ulsoor","07:05 PM","272","173","63.60%","77600.00","145066.67","533.33"
"Tamil","Bengaluru","INOX Lido: Off MG Road, Ulsoor","09:30 PM","272","63","23.16%","26000.00","145066.67","533.33"
"Tamil","Bengaluru","INOX Lido: Off MG Road, Ulsoor","10:15 PM","141","29","20.57%","11600.00","75200.00","533.33"
"Tamil","Bengaluru","INOX Lido: Off MG Road, Ulsoor","10:30 PM","272","9","3.31%","3600.00","145066.67","533.33"
"Tamil","Bengaluru","INOX: Brookefield Mall","04:15 PM","109","37","33.94%","14800.00","43600.00","400.00"
"Tamil","Bengaluru","INOX: Brookefield Mall","06:35 PM","116","39","33.62%","15600.00","46400.00","400.00"
"Tamil","Bengaluru","INOX: Brookefield Mall","10:00 PM","116","23","19.83%","9200.00","46400.00","400.00"
"Tamil","Bengaluru","INOX: Brookefield Mall","10:30 PM","109","9","8.26%","3600.00","43600.00","400.00"
"Tamil","Bengaluru","INOX: Central, JP Nagar, Mantri Junction","03:40 PM","347","175","50.43%","75250.00","169162.50","487.50"
"Tamil","Bengaluru","INOX: Central, JP Nagar, Mantri Junction","06:15 PM","260","102","39.23%","42900.00","126750.00","487.50"
"Tamil","Bengaluru","INOX: Central, JP Nagar, Mantri Junction","07:05 PM","347","87","25.07%","38300.00","169162.50","487.50"
"Tamil","Bengaluru","INOX: Central, JP Nagar, Mantri Junction","10:30 PM","347","27","7.78%","11150.00","169162.50","487.50"
"Tamil","Bengaluru","INOX: Galleria Mall, Yelahanka","03:30 PM","272","182","66.91%","77600.00","145066.67","533.33"
"Tamil","Bengaluru","INOX: Galleria Mall, Yelahanka","05:55 PM","272","149","54.78%","66000.00","145066.67","533.33"
"Tamil","Bengaluru","INOX: Galleria Mall, Yelahanka","06:55 PM","272","123","45.22%","55200.00","145066.67","533.33"
"Tamil","Bengaluru","INOX: Galleria Mall, Yelahanka","09:20 PM","272","33","12.13%","16000.00","145066.67","533.33"
"Tamil","Bengaluru","INOX: Galleria Mall, Yelahanka","10:20 PM","272","26","9.56%","14800.00","145066.67","533.33"
"Tamil","Bengaluru","INOX: Garuda Mall, Magrath Road","03:40 PM","219","153","69.86%","64400.00","116800.00","533.33"
"Tamil","Bengaluru","INOX: Garuda Mall, Magrath Road","06:05 PM","175","98","56.00%","44000.00","93333.33","533.33"
"Tamil","Bengaluru","INOX: Garuda Mall, Magrath Road","07:05 PM","219","109","49.77%","48400.00","116800.00","533.33"
"Tamil","Bengaluru","INOX: Garuda Mall, Magrath Road","09:30 PM","175","24","13.71%","11200.00","93333.33","533.33"
"Tamil","Bengaluru","INOX: Garuda Mall, Magrath Road","10:30 PM","219","19","8.68%","9200.00","116800.00","533.33"
"Tamil","Bengaluru","INOX: Garuda Swagath Mall, Jayanagar","03:40 PM","312","142","45.51%","56800.00","124800.00","400.00"
"Tamil","Bengaluru","INOX: Garuda Swagath Mall, Jayanagar","07:05 PM","312","40","12.82%","16000.00","124800.00","400.00"
"Tamil","Bengaluru","INOX: Garuda Swagath Mall, Jayanagar","10:30 PM","312","11","3.53%","4400.00","124800.00","400.00"
"Tamil","Bengaluru","INOX: Garuda Yelahanka, Bengaluru","03:40 PM","195","105","53.85%","42000.00","78000.00","400.00"
"Tamil","Bengaluru","INOX: Garuda Yelahanka, Bengaluru","09:30 PM","195","26","13.33%","10400.00","78000.00","400.00"
"Tamil","Bengaluru","INOX: Garuda Yelahanka, Bengaluru","10:25 PM","183","15","8.20%","6000.00","73200.00","400.00"
"Tamil","Bengaluru","INOX: M5 Ecity, Bengaluru","03:40 PM","264","212","80.30%","84900.00","108240.00","410.00"
"Tamil","Bengaluru","INOX: M5 Ecity, Bengaluru","06:35 PM","161","110","68.32%","47600.00","77280.00","480.00"
"Tamil","Bengaluru","INOX: M5 Ecity, Bengaluru","07:05 PM","264","178","67.42%","71650.00","108240.00","410.00"
"Tamil","Bengaluru","INOX: M5 Ecity, Bengaluru","09:30 PM","148","33","22.30%","13200.00","71040.00","480.00"
"Tamil","Bengaluru","INOX: M5 Ecity, Bengaluru","10:00 PM","161","8","4.97%","3200.00","77280.00","480.00"
"Tamil","Bengaluru","INOX: M5 Ecity, Bengaluru","10:30 PM","264","18","6.82%","7300.00","108240.00","410.00"
"Tamil","Bengaluru","INOX: Mantri Square, Malleshwaram","03:25 PM","57","29","50.88%","29000.00","57000.00","1000.00"
"Tamil","Bengaluru","INOX: Mantri Square, Malleshwaram","03:40 PM","332","235","70.78%","99200.00","177066.67","533.33"
"Tamil","Bengaluru","INOX: Mantri Square, Malleshwaram","06:05 PM","300","162","54.00%","70400.00","160000.00","533.33"
"Tamil","Bengaluru","INOX: Mantri Square, Malleshwaram","07:05 PM","332","120","36.14%","53600.00","177066.67","533.33"
"Tamil","Bengaluru","INOX: Mantri Square, Malleshwaram","09:30 PM","300","69","23.00%","32400.00","160000.00","533.33"
"Tamil","Bengaluru","INOX: Mantri Square, Malleshwaram","10:15 PM","57","26","45.61%","26000.00","57000.00","1000.00"
"Tamil","Bengaluru","INOX: Mantri Square, Malleshwaram","10:30 PM","332","43","12.95%","21200.00","177066.67","533.33"
"Tamil","Bengaluru","INOX: Megaplex Mall of Asia Bangalore","03:25 PM","178","125","70.22%","55600.00","94933.33","533.33"
"Tamil","Bengaluru","INOX: Megaplex Mall of Asia Bangalore","03:35 PM","171","122","71.35%","48800.00","68400.00","400.00"
"Tamil","Bengaluru","INOX: Megaplex Mall of Asia Bangalore","03:40 PM","179","132","73.74%","58400.00","95466.67","533.33"
"Tamil","Bengaluru","INOX: Megaplex Mall of Asia Bangalore","03:45 PM","54","44","81.48%","46300.00","56700.00","1050.00"
"Tamil","Bengaluru","INOX: Megaplex Mall of Asia Bangalore","06:05 PM","212","142","66.98%","62000.00","113066.67","533.33"
"Tamil","Bengaluru","INOX: Megaplex Mall of Asia Bangalore","06:25 PM","173","97","56.07%","38800.00","69200.00","400.00"
"Tamil","Bengaluru","INOX: Megaplex Mall of Asia Bangalore","06:50 PM","178","99","55.62%","45200.00","94933.33","533.33"
"Tamil","Bengaluru","INOX: Megaplex Mall of Asia Bangalore","06:50 PM","47","34","72.34%","36000.00","49350.00","1050.00"
"Tamil","Bengaluru","INOX: Megaplex Mall of Asia Bangalore","07:00 PM","171","82","47.95%","32800.00","68400.00","400.00"
"Tamil","Bengaluru","INOX: Megaplex Mall of Asia Bangalore","07:05 PM","179","75","41.90%","35200.00","95466.67","533.33"
"Tamil","Bengaluru","INOX: Megaplex Mall of Asia Bangalore","09:30 PM","212","56","26.42%","25600.00","113066.67","533.33"
"Tamil","Bengaluru","INOX: Megaplex Mall of Asia Bangalore","10:00 PM","54","15","27.78%","16100.00","56700.00","1050.00"
"Tamil","Bengaluru","INOX: Megaplex Mall of Asia Bangalore","10:15 PM","178","21","11.80%","10800.00","94933.33","533.33"
"Tamil","Bengaluru","INOX: Megaplex Mall of Asia Bangalore","10:25 PM","171","21","12.28%","8400.00","68400.00","400.00"
"Tamil","Bengaluru","INOX: Megaplex Mall of Asia Bangalore","10:30 PM","179","29","16.20%","12000.00","95466.67","533.33"
"Tamil","Bengaluru","INOX: Nexus, Whitefield","03:40 PM","218","122","55.96%","48800.00","87200.00","400.00"
"Tamil","Bengaluru","INOX: Nexus, Whitefield","06:05 PM","157","91","57.96%","36400.00","62800.00","400.00"
"Tamil","Bengaluru","INOX: Nexus, Whitefield","07:05 PM","218","114","52.29%","45600.00","87200.00","400.00"
"Tamil","Bengaluru","INOX: Nexus, Whitefield","09:30 PM","157","21","13.38%","8400.00","62800.00","400.00"
"Tamil","Bengaluru","INOX: Nexus, Whitefield","10:30 PM","218","16","7.34%","6400.00","87200.00","400.00"
"Tamil","Bengaluru","INOX:SBR Horizon, Seegehalli Whitefield-Hoskote Rd","03:30 PM","254","72","28.35%","28800.00","101600.00","400.00"
"Tamil","Bengaluru","INOX:SBR Horizon, Seegehalli Whitefield-Hoskote Rd","05:55 PM","110","16","14.55%","6400.00","44000.00","400.00"
"Tamil","Bengaluru","INOX:SBR Horizon, Seegehalli Whitefield-Hoskote Rd","06:55 PM","254","28","11.02%","11200.00","101600.00","400.00"
"Tamil","Bengaluru","INOX:SBR Horizon, Seegehalli Whitefield-Hoskote Rd","09:20 PM","110","6","5.45%","2400.00","44000.00","400.00"
"Tamil","Bengaluru","INOX:SBR Horizon, Seegehalli Whitefield-Hoskote Rd","10:20 PM","254","25","9.84%","10000.00","101600.00","400.00"
"Tamil","Bengaluru","Kamakya 4K Dolby Atmos 3D A/C Cinema: Banashankari","10:15 PM","635","154","24.25%","35150.00","142875.00","225.00"
"Tamil","Bengaluru","Kino Cinemas: Seegehalli Kadugodi, Bengaluru","03:50 PM","168","125","74.40%","37500.00","50400.00","300.00"
"Tamil","Bengaluru","Kino Cinemas: Seegehalli Kadugodi, Bengaluru","07:00 PM","168","55","32.74%","16500.00","50400.00","300.00"
"Tamil","Bengaluru","Kino Cinemas: Seegehalli Kadugodi, Bengaluru","10:10 PM","168","4","2.38%","800.00","33600.00","200.00"
"Tamil","Bengaluru","Lakshmi Cinema 4K Dolby Atmos RGB Laser Tavarekere","04:00 PM","1053","968","91.93%","249100.00","280800.00","266.67"
"Tamil","Bengaluru","Lakshmi Cinema 4K Dolby Atmos RGB Laser Tavarekere","07:15 PM","1053","664","63.06%","172250.00","280800.00","266.67"
"Tamil","Bengaluru","Lakshmi Cinema 4K Dolby Atmos RGB Laser Tavarekere","10:30 PM","837","182","21.74%","45900.00","230175.00","275.00"
"Tamil","Bengaluru","Mahadeshwara Cinema 4K Dolby ATMOS AC Banashankari","06:30 PM","772","454","58.81%","113650.00","244466.67","316.67"
"Tamil","Bengaluru","Mahadeshwara Cinema 4K Dolby ATMOS AC Banashankari","10:00 PM","772","2","0.26%","500.00","244466.67","316.67"
"Tamil","Bengaluru","Maruthi Cinemas 4K AC Dolby 7.1: RajgopalNagar","07:00 PM","636","28","4.40%","6300.00","143100.00","225.00"
"Tamil","Bengaluru","Maruthi Cinemas 4K AC Dolby 7.1: RajgopalNagar","10:00 PM","636","4","0.63%","1000.00","143100.00","225.00"
"Tamil","Bengaluru","Miraj Cinemas: TGN Lotus Elite, Magadi Road","03:50 PM","227","165","72.69%","68400.00","121066.67","533.33"
"Tamil","Bengaluru","Miraj Cinemas: TGN Lotus Elite, Magadi Road","07:10 PM","227","48","21.15%","19200.00","121066.67","533.33"
"Tamil","Bengaluru","Miraj Cinemas: TGN Lotus Elite, Magadi Road","10:30 PM","227","5","2.20%","2000.00","121066.67","533.33"
"Tamil","Bengaluru","Movietime Cinemas: YGR Signature Mall, RR Nagar","04:00 PM","321","176","54.83%","73800.00","149800.00","466.67"
"Tamil","Bengaluru","Movietime Cinemas: YGR Signature Mall, RR Nagar","10:30 PM","321","17","5.30%","7600.00","149800.00","466.67"
"Tamil","Bengaluru","Mukunda 4K Dolby Atmos: M.S.Nagar","05:40 PM","706","703","99.58%","223550.00","247100.00","350.00"
"Tamil","Bengaluru","Mukunda 4K Dolby Atmos: M.S.Nagar","09:20 PM","706","596","84.42%","191450.00","247100.00","350.00"
"Tamil","Bengaluru","Murali Cinemas(Gokula)4K Dolby7.1 A/C 3D:Mathikere","10:30 PM","596","86","14.43%","17200.00","119200.00","200.00"
"Tamil","Bengaluru","Navrang Theatre: Rajaji Nagar","10:00 PM","738","67","9.08%","15650.00","166050.00","225.00"
"Tamil","Bengaluru","Newfangled Miniplex (TWIN SEATED): MG Road","07:45 PM","29","8","27.59%","16000.00","58000.00","2000.00"
"Tamil","Bengaluru","Newfangled Miniplex (TWIN SEATED): MG Road","10:55 PM","29","7","24.14%","7000.00","29000.00","1000.00"
"Tamil","Bengaluru","Pushpanjali B N Pura: A/C 2K Dolby 7.1","07:15 PM","668","477","71.41%","120750.00","217100.00","325.00"
"Tamil","Bengaluru","Pushpanjali B N Pura: A/C 2K Dolby 7.1","10:30 PM","668","35","5.24%","9050.00","217100.00","325.00"
"Tamil","Bengaluru","Pushpanjali Sultanpalya: A/C Digital 2K 3D Dolby","06:00 PM","835","807","96.65%","131850.00","146125.00","175.00"
"Tamil","Bengaluru","Pushpanjali Sultanpalya: A/C Digital 2K 3D Dolby","09:30 PM","835","73","8.74%","11650.00","146125.00","175.00"
"Tamil","Bengaluru","PVR: Aura Park Square, Whitefield","03:40 PM","198","102","51.52%","44400.00","105600.00","533.33"
"Tamil","Bengaluru","PVR: Aura Park Square, Whitefield","06:15 PM","182","52","28.57%","22400.00","97066.67","533.33"
"Tamil","Bengaluru","PVR: Aura Park Square, Whitefield","06:45 PM","132","17","12.88%","6800.00","70400.00","533.33"
"Tamil","Bengaluru","PVR: Aura Park Square, Whitefield","07:05 PM","198","15","7.58%","6800.00","105600.00","533.33"
"Tamil","Bengaluru","PVR: Aura Park Square, Whitefield","09:40 PM","182","19","10.44%","8400.00","97066.67","533.33"
"Tamil","Bengaluru","PVR: Aura Park Square, Whitefield","10:30 PM","198","10","5.05%","4000.00","105600.00","533.33"
"Tamil","Bengaluru","PVR: Bhartiya Mall of Bengaluru","03:25 PM","332","252","75.90%","119120.00","190346.67","573.33"
"Tamil","Bengaluru","PVR: Bhartiya Mall of Bengaluru","05:50 PM","189","119","62.96%","52000.00","100800.00","533.33"
"Tamil","Bengaluru","PVR: Bhartiya Mall of Bengaluru","06:20 PM","217","120","55.30%","53600.00","115733.33","533.33"
"Tamil","Bengaluru","PVR: Bhartiya Mall of Bengaluru","06:50 PM","332","160","48.19%","75020.00","190346.67","573.33"
"Tamil","Bengaluru","PVR: Bhartiya Mall of Bengaluru","09:15 PM","189","36","19.05%","15200.00","100800.00","533.33"
"Tamil","Bengaluru","PVR: Bhartiya Mall of Bengaluru","09:45 PM","217","24","11.06%","12000.00","115733.33","533.33"
"Tamil","Bengaluru","PVR: Bhartiya Mall of Bengaluru","10:15 PM","332","33","9.94%","17880.00","190346.67","573.33"
"Tamil","Bengaluru","PVR: Directors Cut, Forum Rex Walk Bengaluru","04:10 PM","48","44","91.67%","52800.00","57600.00","1200.00"
"Tamil","Bengaluru","PVR: Directors Cut, Forum Rex Walk Bengaluru","06:40 PM","48","38","79.17%","45600.00","57600.00","1200.00"
"Tamil","Bengaluru","PVR: Directors Cut, Forum Rex Walk Bengaluru","07:20 PM","48","34","70.83%","40800.00","57600.00","1200.00"
"Tamil","Bengaluru","PVR: Directors Cut, Forum Rex Walk Bengaluru","10:30 PM","48","19","39.58%","22800.00","57600.00","1200.00"
"Tamil","Bengaluru","PVR: Global Mall, Mysore Road, Bengaluru","03:40 PM","255","150","58.82%","65200.00","136000.00","533.33"
"Tamil","Bengaluru","PVR: Global Mall, Mysore Road, Bengaluru","06:35 PM","239","109","45.61%","47600.00","127466.67","533.33"
"Tamil","Bengaluru","PVR: Global Mall, Mysore Road, Bengaluru","07:05 PM","255","82","32.16%","38000.00","136000.00","533.33"
"Tamil","Bengaluru","PVR: Global Mall, Mysore Road, Bengaluru","09:30 PM","117","12","10.26%","4800.00","62400.00","533.33"
"Tamil","Bengaluru","PVR: Global Mall, Mysore Road, Bengaluru","10:00 PM","239","18","7.53%","7200.00","127466.67","533.33"
"Tamil","Bengaluru","PVR: Global Mall, Mysore Road, Bengaluru","10:30 PM","255","6","2.35%","2400.00","136000.00","533.33"
"Tamil","Bengaluru","PVR: GT World Mall, Magadi Road","03:55 PM","240","209","87.08%","86400.00","128000.00","533.33"
"Tamil","Bengaluru","PVR: GT World Mall, Magadi Road","06:35 PM","195","120","61.54%","54000.00","104000.00","533.33"
"Tamil","Bengaluru","PVR: GT World Mall, Magadi Road","06:55 PM","240","92","38.33%","40800.00","128000.00","533.33"
"Tamil","Bengaluru","PVR: GT World Mall, Magadi Road","10:20 PM","240","22","9.17%","12800.00","128000.00","533.33"
"Tamil","Bengaluru","PVR: MSR Elements Mall, Tanisandhra Main Road","03:40 PM","284","202","71.13%","87200.00","142000.00","500.00"
"Tamil","Bengaluru","PVR: MSR Elements Mall, Tanisandhra Main Road","06:05 PM","203","116","57.14%","51200.00","101500.00","500.00"
